DIM_INDICATOR_id,DIM_INDICATOR_name,DIM_TIME_year,DIM_TIME_month,DIM_LOCATION_id,DIM_SOURCE_id,FACT_value
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2020,12,PAK,KAGGLE_PAK_ECONOMY,80.0
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2021,12,PAK,KAGGLE_PAK_ECONOMY,82.4
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2022,12,PAK,KAGGLE_PAK_ECONOMY,82.6
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2023,12,PAK,KAGGLE_PAK_ECONOMY,84.0
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2024,12,PAK,KAGGLE_PAK_ECONOMY,85.5
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2025,12,PAK,KAGGLE_PAK_ECONOMY,87.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2000,12,PAK,KAGGLE_PAK_ECONOMY,47.2
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2001,12,PAK,KAGGLE_PAK_ECONOMY,47.8
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2002,12,PAK,KAGGLE_PAK_ECONOMY,48.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2003,12,PAK,KAGGLE_PAK_ECONOMY,49.1
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2004,12,PAK,KAGGLE_PAK_ECONOMY,50.5
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2005,12,PAK,KAGGLE_PAK_ECONOMY,52.2
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2006,12,PAK,KAGGLE_PAK_ECONOMY,53.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2007,12,PAK,KAGGLE_PAK_ECONOMY,53.4
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2008,12,PAK,KAGGLE_PAK_ECONOMY,52.1
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2009,12,PAK,KAGGLE_PAK_ECONOMY,52.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2010,12,PAK,KAGGLE_PAK_ECONOMY,53.6
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2011,12,PAK,KAGGLE_PAK_ECONOMY,54.1
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2012,12,PAK,KAGGLE_PAK_ECONOMY,53.3
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2013,12,PAK,KAGGLE_PAK_ECONOMY,54.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2014,12,PAK,KAGGLE_PAK_ECONOMY,53.2
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2015,12,PAK,KAGGLE_PAK_ECONOMY,53.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2016,12,PAK,KAGGLE_PAK_ECONOMY,53.1
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2017,12,PAK,KAGGLE_PAK_ECONOMY,52.8
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2018,12,PAK,KAGGLE_PAK_ECONOMY,52.4
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2019,12,PAK,KAGGLE_PAK_ECONOMY,52.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2020,12,PAK,KAGGLE_PAK_ECONOMY,53.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2021,12,PAK,KAGGLE_PAK_ECONOMY,52.6
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2022,12,PAK,KAGGLE_PAK_ECONOMY,51.7
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2023,12,PAK,KAGGLE_PAK_ECONOMY,50.6
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2024,12,PAK,KAGGLE_PAK_ECONOMY,51.0
IND_SERVICES_GDP_PCT,"Services, value added (% of GDP)",2025,12,PAK,KAGGLE_PAK_ECONOMY,52.0
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2000,12,PAK,KAGGLE_PAK_ECONOMY,9.3
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2001,12,PAK,KAGGLE_PAK_ECONOMY,9.7
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2002,12,PAK,KAGGLE_PAK_ECONOMY,10.1
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2003,12,PAK,KAGGLE_PAK_ECONOMY,10.5
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2004,12,PAK,KAGGLE_PAK_ECONOMY,10.5
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2005,12,PAK,KAGGLE_PAK_ECONOMY,10.8
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2006,12,PAK,KAGGLE_PAK_ECONOMY,10.9
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2007,12,PAK,KAGGLE_PAK_ECONOMY,10.3
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2008,12,PAK,KAGGLE_PAK_ECONOMY,10.5
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2009,12,PAK,KAGGLE_PAK_ECONOMY,9.1
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2010,12,PAK,KAGGLE_PAK_ECONOMY,9.9
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2011,12,PAK,KAGGLE_PAK_ECONOMY,10.1
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2012,12,PAK,KAGGLE_PAK_ECONOMY,10.5
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2013,12,PAK,KAGGLE_PAK_ECONOMY,10.2
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2014,12,PAK,KAGGLE_PAK_ECONOMY,11.0
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2015,12,PAK,KAGGLE_PAK_ECONOMY,12.4
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2016,12,PAK,KAGGLE_PAK_ECONOMY,12.6
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2017,12,PAK,KAGGLE_PAK_ECONOMY,13.0
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2018,12,PAK,KAGGLE_PAK_ECONOMY,13.6
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2019,12,PAK,KAGGLE_PAK_ECONOMY,12.2
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2020,12,PAK,KAGGLE_PAK_ECONOMY,11.4
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2021,12,PAK,KAGGLE_PAK_ECONOMY,11.9
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2022,12,PAK,KAGGLE_PAK_ECONOMY,12.1
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2023,12,PAK,KAGGLE_PAK_ECONOMY,12.7
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2024,12,PAK,KAGGLE_PAK_ECONOMY,13.3
IND_TAX_REVENUE_GDP_PCT,Tax revenue (% of GDP),2025,12,PAK,KAGGLE_PAK_ECONOMY,14.5
IND_UNEMPLOYMENT_PCT,"Unemployment, total (% of total labor force)",2000,12,PAK,KAGGLE_PAK_ECONOMY,7.8
IND_UNEMPLOYMENT_PCT,"Unemployment, total (% of total labor force)",2001,12,PAK,KAGGLE_PAK_ECONOMY,7.8
IND_UNEMPLOYMENT_PCT,"Unemployment, total (% of total labor force)",2002,12,PAK,KAGGLE_PAK_ECONOMY,8.3
IND_UNEMPLOYMENT_PCT,"Unemployment, total (% of total labor force)",2003,12,PAK,KAGGLE_PAK_ECONOMY,8.3
